"source","target","weight"
943149,230541,2909
943149,31223,776
943149,1175380,50
943149,536984,27
943149,579233,11
943149,265902,11
943149,400538,11
943149,2523305,9
943149,189038,9
943149,202799,8
943149,444344,8
943149,1612169,8
943149,1294785,7
943149,382136,7
943149,471903,7
943149,4141669,6
943149,289174,6
943149,33569,5
943149,105151,5
943149,638,5
943149,98601,4
943149,9220038,4
943149,6148980,4
943149,57576,4
943149,145272,3
943149,68416,3
943149,12149,3
943149,46036,3
943149,402462,3
943149,1355481,3
28457823,985197,2328
28457823,6775919,1682
28457823,544954,1261
28457823,1911390,658
28457823,1381313,381
28457823,553494,366
28457823,10749142,298
28457823,1884376,240
28457823,13225220,198
28457823,11198912,176
28457823,2754821,166
28457823,1029200,119
28457823,3090888,109
28457823,14790466,62
28457823,5279150,60
28457823,18572518,49
28457823,2107110,45
28457823,7917512,44
28457823,701221,40
28457823,8263430,35
28457823,15965601,35
28457823,11958359,30
28457823,10660283,28
28457823,12584257,25
28457823,12993334,19
28457823,9719214,19
28457823,963773,18
28457823,5444765,16
28457823,920841,15
28457823,7098232,15
10270250,8445,1757
10270250,6820,1122
10270250,9595985,456
10270250,63648,455
10270250,239742,332
10270250,810438,268
10270250,1909539,222
10270250,197597,201
10270250,5750,140
10270250,4117,115
10270250,55161,109
10270250,1714255,77
10270250,13352,65
10270250,128431,45
10270250,3624098,43
10270250,7623979,39
10270250,250407,32
10270250,1507086,29
10270250,61091,26
10270250,180404,24
10270250,2268452,24
10270250,2823852,21
10270250,240284,21
10270250,590904,16
10270250,169760,15
10270250,6886061,15
10270250,28530,15
10270250,977348,15
10270250,1309177,14
10270250,91933,14
460078,216296,1438
460078,15655,742
460078,111951,730
460078,93018,372
460078,46647,364
460078,1153097,292
460078,8604205,238
460078,2294695,196
460078,474988,192
460078,391394,128
460078,690815,100
460078,1758366,85
460078,1764161,80
460078,89246,76
460078,463703,65
460078,2081709,57
460078,37704,52
460078,1331190,50
460078,973550,48
460078,94334,38
460078,1271410,29
460078,588473,25
460078,628508,21
460078,163352,21
460078,43582,20
460078,415779,20
460078,54418,20
460078,6412,19
460078,3735902,19
460078,1703387,19
2126244,98681,7623
2126244,419884,2746
2126244,169705,1185
2126244,349621,572
2126244,1068978,222
2126244,895831,209
2126244,3535675,129
2126244,9835569,95
2126244,947110,74
2126244,3757319,47
2126244,368084,38
2126244,80144,36
2126244,171054,34
2126244,216339,34
2126244,197928,32
2126244,954055,29
2126244,750822,26
2126244,5115488,25
2126244,1261809,24
2126244,2002591,21
2126244,1016458,17
2126244,29612,17
2126244,85355,16
2126244,1086582,16
2126244,134294,16
2126244,1073681,14
2126244,1689750,14
2126244,1106331,14
2126244,556268,14
2126244,33141,14
